market_hash_name,name,variant,exterior,coleccion,rareza,float_min,float_max,currency,listing_min,listing_median,sales_median_24h,sales_median_7d,sales_median_30d,sales_median_90d,vol_24h,vol_7d,vol_30d,vol_90d,delta_24h_vs_7d_pct,delta_7d_vs_30d_pct,source,last_updated_unix
AK-47 | Aquamarine Revenge (Factory New),AK-47 | Aquamarine Revenge,normal,Factory New,The Falchion Collection,covert,0.0,1.0,USD,374.95,386.99,,287.55,236.03,214.78,0,11,37,87,,21.827733762657296,Skinport,1757810067
AK-47 | Black Laminate (Battle-Scarred),AK-47 | Black Laminate,normal,Battle-Scarred,The Vertigo Collection,mil-spec,0.0,1.0,USD,45.95,85.49,,,36.26,48.5,0,0,3,8,,,Skinport,1757810067
AK-47 | Bloodsport (Factory New),AK-47 | Bloodsport,normal,Factory New,The Spectrum Collection,covert,0.0,0.45,USD,351.81,417.81,332.65,326.76,312.67,306.46,2,80,160,365,1.8025462112865671,4.506348546390755,Skinport,1757810067
AK-47 | Bloodsport (Minimal Wear),AK-47 | Bloodsport,normal,Minimal Wear,The Spectrum Collection,covert,0.0,0.45,USD,215.44,252.13,215.44,205.37,214.6,216.95,5,34,135,448,4.903345181866871,-4.301025163094124,Skinport,1757810067
AK-47 | Bloodsport (Field-Tested),AK-47 | Bloodsport,normal,Field-Tested,The Spectrum Collection,covert,0.0,0.45,USD,175.91,206.3,176.81,179.35,177.12,183.43,5,32,164,430,-1.4162252578756578,1.2590334236675642,Skinport,1757810067
AK-47 | Bloodsport (Well-Worn),AK-47 | Bloodsport,normal,Well-Worn,The Spectrum Collection,covert,0.0,0.45,USD,164.18,178.31,157.99,159.46,166.12,175.03,2,4,19,50,-0.9218612818261627,-4.009150012039488,Skinport,1757810067
StatTrak™ AK-47 | Bloodsport (Factory New),AK-47 | Bloodsport,stattrak,Factory New,The Spectrum Collection,covert,0.0,0.45,USD,490.82,559.4,484.08,482.19,485.38,488.28,1,8,28,83,0.39196167485845546,-0.6572170258354274,Skinport,1757810067
StatTrak™ AK-47 | Bloodsport (Minimal Wear),AK-47 | Bloodsport,stattrak,Minimal Wear,The Spectrum Collection,covert,0.0,0.45,USD,359.85,412.73,380.42,377.84,364.26,372.66,1,4,20,69,0.6828287105653296,3.7281062976994415,Skinport,1757810067
StatTrak™ AK-47 | Bloodsport (Field-Tested),AK-47 | Bloodsport,stattrak,Field-Tested,The Spectrum Collection,covert,0.0,0.45,USD,315.21,344.53,325.4,303.46,301.37,304.88,3,10,37,90,7.22994793382983,0.6934996847728623,Skinport,1757810067
StatTrak™ AK-47 | Bloodsport (Well-Worn),AK-47 | Bloodsport,stattrak,Well-Worn,The Spectrum Collection,covert,0.0,0.45,USD,,,,,278.14,275.07,0,0,1,8,,,Skinport,1757810067
AK-47 | Blue Laminate (Factory New),AK-47 | Blue Laminate,normal,Factory New,The eSports 2013 Winter Collection,restricted,0.02,0.4,USD,44.25,117.27,,37.3,29.83,22.94,0,62,128,458,,25.04190412336574,Skinport,1757810067
AK-47 | Blue Laminate (Minimal Wear),AK-47 | Blue Laminate,normal,Minimal Wear,The eSports 2013 Winter Collection,restricted,0.02,0.4,USD,16.45,64.5,20.87,16.77,16.77,16.89,6,44,159,438,24.448419797257014,0.0,Skinport,1757810067
AK-47 | Blue Laminate (Field-Tested),AK-47 | Blue Laminate,normal,Field-Tested,The eSports 2013 Winter Collection,restricted,0.02,0.4,USD,16.39,33.13,15.48,15.29,16.21,16.38,4,34,90,241,1.2426422498365028,-5.67550894509563,Skinport,1757810067
AK-47 | Blue Laminate (Well-Worn),AK-47 | Blue Laminate,normal,Well-Worn,The eSports 2013 Winter Collection,restricted,0.02,0.4,USD,21.1,22.98,,,27.18,19.06,0,0,2,14,,,Skinport,1757810067
StatTrak™ AK-47 | Blue Laminate (Factory New),AK-47 | Blue Laminate,stattrak,Factory New,The eSports 2013 Winter Collection,restricted,0.02,0.4,USD,58.64,91.08,,56.27,57.37,58.25,0,2,22,88,,-1.9173784207773998,Skinport,1757810067
StatTrak™ AK-47 | Blue Laminate (Minimal Wear),AK-47 | Blue Laminate,stattrak,Minimal Wear,The eSports 2013 Winter Collection,restricted,0.02,0.4,USD,41.9,117.68,43.39,40.06,40.97,42.69,1,10,43,129,8.312531203195203,-2.2211374176226424,Skinport,1757810067
StatTrak™ AK-47 | Blue Laminate (Field-Tested),AK-47 | Blue Laminate,stattrak,Field-Tested,The eSports 2013 Winter Collection,restricted,0.02,0.4,USD,47.42,115.83,37.66,41.91,40.79,41.97,1,8,32,113,-10.14077785731329,2.7457710223093836,Skinport,1757810067
StatTrak™ AK-47 | Blue Laminate (Well-Worn),AK-47 | Blue Laminate,stattrak,Well-Worn,The eSports 2013 Winter Collection,restricted,0.02,0.4,USD,86.36,86.36,,,181.77,82.08,0,0,1,5,,,Skinport,1757810067
AK-47 | Cartel (Factory New),AK-47 | Cartel,normal,Factory New,The Chroma Collection,classified,0.0,0.75,USD,168.47,206.77,105.54,103.41,87.27,55.49,3,12,50,150,2.0597621119814424,18.494327947748367,Skinport,1757810067
AK-47 | Cartel (Minimal Wear),AK-47 | Cartel,normal,Minimal Wear,The Chroma Collection,classified,0.0,0.75,USD,29.12,51.72,24.11,27.62,23.95,22.57,6,33,126,343,-12.708182476466334,15.32359081419625,Skinport,1757810067
AK-47 | Cartel (Field-Tested),AK-47 | Cartel,normal,Field-Tested,The Chroma Collection,classified,0.0,0.75,USD,17.23,24.61,17.23,16.82,16.59,16.64,5,39,110,295,2.4375743162901315,1.386377335744427,Skinport,1757810067
AK-47 | Cartel (Well-Worn),AK-47 | Cartel,normal,Well-Worn,The Chroma Collection,classified,0.0,0.75,USD,39.2,39.2,,23.44,18.63,16.84,0,3,8,18,,25.818572195383805,Skinport,1757810067
AK-47 | Cartel (Battle-Scarred),AK-47 | Cartel,normal,Battle-Scarred,The Chroma Collection,classified,0.0,0.75,USD,27.52,33.48,14.46,14.46,14.54,14.47,1,3,11,32,0.0,-0.5502063273727531,Skinport,1757810067
StatTrak™ AK-47 | Cartel (Factory New),AK-47 | Cartel,stattrak,Factory New,The Chroma Collection,classified,0.0,0.75,USD,141.03,182.16,,131.55,117.15,123.41,0,2,13,41,,12.291933418693986,Skinport,1757810067
StatTrak™ AK-47 | Cartel (Minimal Wear),AK-47 | Cartel,stattrak,Minimal Wear,The Chroma Collection,classified,0.0,0.75,USD,70.54,84.42,,58.19,66.73,67.54,0,3,23,69,,-12.797842050052457,Skinport,1757810067
StatTrak™ AK-47 | Cartel (Field-Tested),AK-47 | Cartel,stattrak,Field-Tested,The Chroma Collection,classified,0.0,0.75,USD,47.06,65.78,44.82,43.91,47.52,49.29,2,5,28,81,2.072420860851751,-7.59680134680136,Skinport,1757810067
StatTrak™ AK-47 | Cartel (Well-Worn),AK-47 | Cartel,stattrak,Well-Worn,The Chroma Collection,classified,0.0,0.75,USD,,,,,43.65,43.52,0,0,2,5,,,Skinport,1757810067
StatTrak™ AK-47 | Cartel (Battle-Scarred),AK-47 | Cartel,stattrak,Battle-Scarred,The Chroma Collection,classified,0.0,0.75,USD,51.97,98.15,,41.92,47.06,53.01,0,1,3,13,,-10.922226944326392,Skinport,1757810067
AK-47 | Case Hardened (Factory New),AK-47 | Case Hardened,normal,Factory New,The Arms Deal Collection,classified,0.0,1.0,USD,445.63,727.07,,,,,0,0,0,0,,,Skinport,1757810067
AK-47 | Case Hardened (Minimal Wear),AK-47 | Case Hardened,normal,Minimal Wear,The Arms Deal Collection,classified,0.0,1.0,USD,316.0,580.49,,,,,0,0,0,0,,,Skinport,1757810067
AK-47 | Case Hardened (Field-Tested),AK-47 | Case Hardened,normal,Field-Tested,The Arms Deal Collection,classified,0.0,1.0,USD,248.1,410.45,,515.78,602.6,577.46,0,4,13,30,,-14.407567208762039,Skinport,1757810067
AK-47 | Case Hardened (Well-Worn),AK-47 | Case Hardened,normal,Well-Worn,The Arms Deal Collection,classified,0.0,1.0,USD,234.7,461.65,,,,,0,0,0,0,,,Skinport,1757810067
AK-47 | Case Hardened (Battle-Scarred),AK-47 | Case Hardened,normal,Battle-Scarred,The Arms Deal Collection,classified,0.0,1.0,USD,229.69,527.72,,379.31,371.42,360.59,0,1,6,22,,2.124279791072098,Skinport,1757810067
StatTrak™ AK-47 | Case Hardened (Factory New),AK-47 | Case Hardened,stattrak,Factory New,The Arms Deal Collection,classified,0.0,1.0,USD,1055.43,1290.96,,,,3150.17,0,0,0,2,,,Skinport,1757810067
StatTrak™ AK-47 | Case Hardened (Minimal Wear),AK-47 | Case Hardened,stattrak,Minimal Wear,The Arms Deal Collection,classified,0.0,1.0,USD,748.87,1433.49,,,,3714.91,0,0,0,1,,,Skinport,1757810067
StatTrak™ AK-47 | Case Hardened (Field-Tested),AK-47 | Case Hardened,stattrak,Field-Tested,The Arms Deal Collection,classified,0.0,1.0,USD,444.05,569.22,,,,1407.24,0,0,0,1,,,Skinport,1757810067
StatTrak™ AK-47 | Case Hardened (Well-Worn),AK-47 | Case Hardened,stattrak,Well-Worn,The Arms Deal Collection,classified,0.0,1.0,USD,394.68,394.68,,,,,0,0,0,0,,,Skinport,1757810067
StatTrak™ AK-47 | Case Hardened (Battle-Scarred),AK-47 | Case Hardened,stattrak,Battle-Scarred,The Arms Deal Collection,classified,0.0,1.0,USD,,,,,,,0,0,0,0,,,Skinport,1757810067
AK-47 | Crossfade (Factory New),AK-47 | Crossfade,normal,Factory New,The Graphic Design Collection,mil-spec,0.0,0.5,USD,21.11,29.31,17.52,7.01,5.29,4.17,5,205,336,701,149.92867332382312,32.51417769376181,Skinport,1757810067
AK-47 | Crossfade (Minimal Wear),AK-47 | Crossfade,normal,Minimal Wear,The Graphic Design Collection,mil-spec,0.0,0.5,USD,8.76,10.51,2.37,3.48,2.79,2.44,3,131,219,515,-31.89655172413793,24.73118279569892,Skinport,1757810067
AK-47 | Crossfade (Field-Tested),AK-47 | Crossfade,normal,Field-Tested,The Graphic Design Collection,mil-spec,0.0,0.5,USD,3.44,5.34,2.66,2.23,2.17,1.88,5,246,326,570,19.28251121076234,2.7649769585253483,Skinport,1757810067
AK-47 | Crossfade (Well-Worn),AK-47 | Crossfade,normal,Well-Worn,The Graphic Design Collection,mil-spec,0.0,0.5,USD,3.44,8.91,3.32,2.2,1.81,1.79,1,5,16,39,50.90909090909089,21.54696132596686,Skinport,1757810067
AK-47 | Crossfade (Battle-Scarred),AK-47 | Crossfade,normal,Battle-Scarred,The Graphic Design Collection,mil-spec,0.0,0.5,USD,6.24,6.24,1.88,1.48,1.35,1.2,1,6,9,14,27.027027027027025,9.62962962962962,Skinport,1757810067
AK-47 | Elite Build (Factory New),AK-47 | Elite Build,normal,Factory New,The Chroma 2 Collection,mil-spec,0.0,1.0,USD,23.69,69.96,17.47,14.89,10.6,9.11,1,70,152,318,17.327065144392197,40.47169811320755,Skinport,1757810067
AK-47 | Elite Build (Minimal Wear),AK-47 | Elite Build,normal,Minimal Wear,The Chroma 2 Collection,mil-spec,0.0,1.0,USD,2.8,4.39,2.76,2.47,2.5,2.63,8,67,219,647,11.740890688259093,-1.1999999999999922,Skinport,1757810067
AK-47 | Elite Build (Field-Tested),AK-47 | Elite Build,normal,Field-Tested,The Chroma 2 Collection,mil-spec,0.0,1.0,USD,1.43,2.63,1.45,1.43,1.43,1.43,5,43,147,557,1.3986013986014,0.0,Skinport,1757810067
AK-47 | Elite Build (Well-Worn),AK-47 | Elite Build,normal,Well-Worn,The Chroma 2 Collection,mil-spec,0.0,1.0,USD,1.08,1.88,1.04,1.08,1.08,1.07,1,17,89,316,-3.703703703703707,0.0,Skinport,1757810067
AK-47 | Elite Build (Battle-Scarred),AK-47 | Elite Build,normal,Battle-Scarred,The Chroma 2 Collection,mil-spec,0.0,1.0,USD,1.02,1.63,0.96,1.02,1.01,0.99,2,11,48,207,-5.8823529411764754,0.990099009900991,Skinport,1757810067
StatTrak™ AK-47 | Elite Build (Factory New),AK-47 | Elite Build,stattrak,Factory New,The Chroma 2 Collection,mil-spec,0.0,1.0,USD,35.18,67.25,35.77,38.39,33.59,33.77,1,4,18,82,-6.824693930711116,14.28996725215837,Skinport,1757810067
StatTrak™ AK-47 | Elite Build (Minimal Wear),AK-47 | Elite Build,stattrak,Minimal Wear,The Chroma 2 Collection,mil-spec,0.0,1.0,USD,9.9,23.45,11.11,10.67,10.41,10.54,7,23,96,308,4.123711340206181,2.4975984630163284,Skinport,1757810067
StatTrak™ AK-47 | Elite Build (Field-Tested),AK-47 | Elite Build,stattrak,Field-Tested,The Chroma 2 Collection,mil-spec,0.0,1.0,USD,5.48,10.99,9.48,5.64,5.49,5.58,1,28,80,245,68.08510638297875,2.73224043715846,Skinport,1757810067
StatTrak™ AK-47 | Elite Build (Well-Worn),AK-47 | Elite Build,stattrak,Well-Worn,The Chroma 2 Collection,mil-spec,0.0,1.0,USD,3.93,7.0,4.03,4.1,3.98,3.87,1,16,36,136,-1.7073170731707172,3.015075376884414,Skinport,1757810067
StatTrak™ AK-47 | Elite Build (Battle-Scarred),AK-47 | Elite Build,stattrak,Battle-Scarred,The Chroma 2 Collection,mil-spec,0.0,1.0,USD,3.83,7.02,,3.74,3.81,3.92,0,5,23,71,,-1.8372703412073448,Skinport,1757810067
AK-47 | Emerald Pinstripe (Factory New),AK-47 | Emerald Pinstripe,normal,Factory New,The Bank Collection,restricted,0.0,1.0,USD,28.4,40.4,15.83,18.76,15.88,13.78,1,34,78,180,-15.61833688699361,18.136020151133504,Skinport,1757810067
AK-47 | Emerald Pinstripe (Minimal Wear),AK-47 | Emerald Pinstripe,normal,Minimal Wear,The Bank Collection,restricted,0.0,1.0,USD,5.68,12.0,5.08,4.62,4.61,4.64,1,13,70,159,9.956709956709956,0.21691973969630773,Skinport,1757810067
AK-47 | Emerald Pinstripe (Field-Tested),AK-47 | Emerald Pinstripe,normal,Field-Tested,The Bank Collection,restricted,0.0,1.0,USD,3.32,5.55,3.13,3.11,2.84,3.15,5,17,52,178,0.6430868167202578,9.507042253521128,Skinport,1757810067
AK-47 | Emerald Pinstripe (Well-Worn),AK-47 | Emerald Pinstripe,normal,Well-Worn,The Bank Collection,restricted,0.0,1.0,USD,2.66,7.04,2.11,2.3,2.15,2.32,1,5,31,82,-8.260869565217389,6.976744186046507,Skinport,1757810067
AK-47 | Emerald Pinstripe (Battle-Scarred),AK-47 | Emerald Pinstripe,normal,Battle-Scarred,The Bank Collection,restricted,0.0,1.0,USD,2.02,6.95,,2.32,2.29,2.76,0,4,15,63,,1.3100436681222623,Skinport,1757810067
AK-47 | Fire Serpent (Factory New),AK-47 | Fire Serpent,normal,Factory New,The Bravo Collection,covert,0.0,0.76,USD,,,,3049.02,3014.8,2882.32,0,1,2,8,,1.1350670027862477,Skinport,1757810067
AK-47 | Fire Serpent (Minimal Wear),AK-47 | Fire Serpent,normal,Minimal Wear,The Bravo Collection,covert,0.0,0.76,USD,1852.87,2064.32,1876.02,1791.72,1730.98,1641.89,1,6,22,51,4.7049762239635635,3.5089949046205042,Skinport,1757810067
AK-47 | Fire Serpent (Field-Tested),AK-47 | Fire Serpent,normal,Field-Tested,The Bravo Collection,covert,0.0,0.76,USD,1017.21,1172.71,1303.68,1019.08,1013.99,1007.96,3,17,43,106,27.927149978411904,0.5019773370546092,Skinport,1757810067
AK-47 | Fire Serpent (Well-Worn),AK-47 | Fire Serpent,normal,Well-Worn,The Bravo Collection,covert,0.0,0.76,USD,,,,776.2,776.2,827.81,0,1,3,4,,0.0,Skinport,1757810067
AK-47 | Fire Serpent (Battle-Scarred),AK-47 | Fire Serpent,normal,Battle-Scarred,The Bravo Collection,covert,0.0,0.76,USD,617.46,647.37,,585.06,606.0,613.8,0,2,8,25,,-3.4554455445544647,Skinport,1757810067
StatTrak™ AK-47 | Fire Serpent (Factory New),AK-47 | Fire Serpent,stattrak,Factory New,The Bravo Collection,covert,0.0,0.76,USD,,,,,,,0,0,0,0,,,Skinport,1757810067
StatTrak™ AK-47 | Fire Serpent (Minimal Wear),AK-47 | Fire Serpent,stattrak,Minimal Wear,The Bravo Collection,covert,0.0,0.76,USD,3368.39,3368.39,,,3277.13,3277.13,0,0,1,3,,,Skinport,1757810067
StatTrak™ AK-47 | Fire Serpent (Field-Tested),AK-47 | Fire Serpent,stattrak,Field-Tested,The Bravo Collection,covert,0.0,0.76,USD,2211.76,2596.33,,,2513.82,2429.35,0,0,3,8,,,Skinport,1757810067
StatTrak™ AK-47 | Fire Serpent (Well-Worn),AK-47 | Fire Serpent,stattrak,Well-Worn,The Bravo Collection,covert,0.0,0.76,USD,2344.23,2344.23,,,,,0,0,0,0,,,Skinport,1757810067
StatTrak™ AK-47 | Fire Serpent (Battle-Scarred),AK-47 | Fire Serpent,stattrak,Battle-Scarred,The Bravo Collection,covert,0.0,0.76,USD,1612.46,1612.46,,,1365.56,1249.44,0,0,1,5,,,Skinport,1757810067
AK-47 | First Class (Factory New),AK-47 | First Class,normal,Factory New,The Baggage Collection,restricted,0.0,1.0,USD,209.91,237.11,,222.81,205.22,187.62,0,1,2,5,,8.571289348016764,Skinport,1757810067
AK-47 | First Class (Minimal Wear),AK-47 | First Class,normal,Minimal Wear,The Baggage Collection,restricted,0.0,1.0,USD,,,121.37,121.37,121.37,121.37,1,1,5,7,0.0,0.0,Skinport,1757810067
AK-47 | First Class (Field-Tested),AK-47 | First Class,normal,Field-Tested,The Baggage Collection,restricted,0.0,1.0,USD,107.89,125.22,90.93,96.6,92.96,99.2,1,2,3,8,-5.869565217391292,3.9156626506024104,Skinport,1757810067
AK-47 | First Class (Well-Worn),AK-47 | First Class,normal,Well-Worn,The Baggage Collection,restricted,0.0,1.0,USD,84.43,92.76,,96.16,93.99,96.16,0,1,4,5,,2.3087562506649664,Skinport,1757810067
AK-47 | First Class (Battle-Scarred),AK-47 | First Class,normal,Battle-Scarred,The Baggage Collection,restricted,0.0,1.0,USD,99.67,107.89,,79.47,76.16,76.67,0,1,2,6,,4.346113445378155,Skinport,1757810067
AK-47 | Frontside Misty (Factory New),AK-47 | Frontside Misty,normal,Factory New,The Shadow Collection,classified,0.02,0.87,USD,199.31,450.42,185.23,158.38,127.54,116.89,1,24,56,116,16.952898093193582,24.18064920809157,Skinport,1757810067
AK-47 | Frontside Misty (Minimal Wear),AK-47 | Frontside Misty,normal,Minimal Wear,The Shadow Collection,classified,0.02,0.87,USD,70.35,88.42,46.05,35.08,33.3,33.75,4,156,324,742,31.271379703534773,5.34534534534535,Skinport,1757810067
AK-47 | Frontside Misty (Field-Tested),AK-47 | Frontside Misty,normal,Field-Tested,The Shadow Collection,classified,0.02,0.87,USD,19.55,26.96,19.55,18.76,15.6,16.39,19,92,414,1114,4.211087420042639,20.25641025641027,Skinport,1757810067
AK-47 | Frontside Misty (Well-Worn),AK-47 | Frontside Misty,normal,Well-Worn,The Shadow Collection,classified,0.02,0.87,USD,19.07,27.0,16.51,15.3,14.07,14.49,2,7,31,90,7.9084967320261494,8.742004264392326,Skinport,1757810067
