Name,Wear,PriceCents,StatTrak
AK-47 | Aquamarine Revenge,Factory New,30200,False
AK-47 | Hydroponic,Field-Tested,142500,False
AK-47 | Hydroponic,Well-Worn,120000,False
AK-47 | Hydroponic,Battle-Scarred,99200,False
AK-47 | Ice Coaled,Factory New,1650,False
AK-47 | Ice Coaled,Minimal Wear,250,False
AK-47 | Ice Coaled,Field-Tested,335,False
AK-47 | Ice Coaled,Well-Worn,403,False
AK-47 | Ice Coaled,Battle-Scarred,295,False
AK-47 | Inheritance,Factory New,25000,False
AK-47 | Inheritance,Minimal Wear,11449,False
AK-47 | Inheritance,Field-Tested,6090,False
AK-47 | Inheritance,Well-Worn,5956,False
AK-47 | Inheritance,Battle-Scarred,5478,False
AK-47 | Jaguar,Factory New,39000,False
AK-47 | Jaguar,Minimal Wear,19700,False
AK-47 | Jaguar,Field-Tested,7945,False
AK-47 | Jaguar,Well-Worn,6023,False
AK-47 | Jaguar,Battle-Scarred,5000,False
AK-47 | Jet Set,Factory New,90000,False
AK-47 | Jet Set,Minimal Wear,49725,False
AK-47 | Jet Set,Field-Tested,38231,False
AK-47 | Jet Set,Well-Worn,38000,False
AK-47 | Jet Set,Battle-Scarred,30000,False
AK-47 | Jungle Spray,Factory New,13200,False
AK-47 | Jungle Spray,Minimal Wear,1080,False
AK-47 | Jungle Spray,Field-Tested,445,False
AK-47 | Jungle Spray,Well-Worn,420,False
AK-47 | Jungle Spray,Battle-Scarred,560,False
AK-47 | Leet Museo,Factory New,58000,False
AK-47 | Leet Museo,Minimal Wear,18500,False
AK-47 | Leet Museo,Field-Tested,8898,False
AK-47 | Leet Museo,Well-Worn,5238,False
AK-47 | Leet Museo,Battle-Scarred,4798,False
AK-47 | Legion of Anubis,Factory New,2999,False
AK-47 | Legion of Anubis,Minimal Wear,898,False
AK-47 | Legion of Anubis,Field-Tested,512,False
AK-47 | Legion of Anubis,Well-Worn,625,False
AK-47 | Legion of Anubis,Battle-Scarred,477,False
AK-47 | Midnight Laminate,Factory New,7160,False
AK-47 | Midnight Laminate,Minimal Wear,2846,False
AK-47 | Midnight Laminate,Field-Tested,921,False
AK-47 | Midnight Laminate,Well-Worn,959,False
AK-47 | Midnight Laminate,Battle-Scarred,702,False
AK-47 | Neon Revolution,Factory New,5011,False
AK-47 | Neon Revolution,Minimal Wear,5700,False
AK-47 | Neon Revolution,Field-Tested,2028,False
AK-47 | Neon Revolution,Well-Worn,2654,False
AK-47 | Neon Revolution,Battle-Scarred,2097,False
AK-47 | Neon Rider,Factory New,30000,False
AK-47 | Neon Rider,Minimal Wear,8500,False
AK-47 | Neon Rider,Field-Tested,2250,False
AK-47 | Neon Rider,Well-Worn,4574,False
AK-47 | Neon Rider,Battle-Scarred,3950,False
AK-47 | Nightwish,Factory New,11000,False
AK-47 | Nightwish,Minimal Wear,1566,False
AK-47 | Nightwish,Field-Tested,670,False
AK-47 | Nightwish,Well-Worn,521,False
AK-47 | Nightwish,Battle-Scarred,399,False
AK-47 | Nouveau Rouge,Factory New,32998,False
AK-47 | Nouveau Rouge,Minimal Wear,12863,False
AK-47 | Nouveau Rouge,Field-Tested,5330,False
AK-47 | Nouveau Rouge,Well-Worn,1850,False
AK-47 | Nouveau Rouge,Battle-Scarred,1769,False
AK-47 | Olive Polycam,Factory New,75,False
AK-47 | Olive Polycam,Minimal Wear,28,False
AK-47 | Olive Polycam,Field-Tested,19,False
AK-47 | Olive Polycam,Well-Worn,20,False
AK-47 | Olive Polycam,Battle-Scarred,20,False
AK-47 | Orbit Mk01,Factory New,11934,False
AK-47 | Orbit Mk01,Minimal Wear,3186,False
AK-47 | Orbit Mk01,Field-Tested,2456,False
AK-47 | Orbit Mk01,Well-Worn,2810,False
AK-47 | Orbit Mk01,Battle-Scarred,2630,False
AK-47 | Panthera onca,Factory New,67977,False
AK-47 | Panthera onca,Minimal Wear,34716,False
AK-47 | Panthera onca,Field-Tested,22262,False
AK-47 | Panthera onca,Well-Worn,18303,False
AK-47 | Panthera onca,Battle-Scarred,19777,False
AK-47 | Phantom Disruptor,Factory New,7700,False
AK-47 | Phantom Disruptor,Minimal Wear,1198,False
AK-47 | Phantom Disruptor,Field-Tested,338,False
AK-47 | Phantom Disruptor,Well-Worn,500,False
AK-47 | Phantom Disruptor,Battle-Scarred,350,False
AK-47 | Point Disarray,Factory New,964,False
AK-47 | Point Disarray,Minimal Wear,4356,False
AK-47 | Point Disarray,Field-Tested,1405,False
AK-47 | Point Disarray,Well-Worn,1500,False
AK-47 | Point Disarray,Battle-Scarred,1171,False
AK-47 | Predator,Factory New,6799,False
AK-47 | Predator,Minimal Wear,2081,False
AK-47 | Predator,Field-Tested,1600,False
AK-47 | Predator,Well-Worn,1634,False
AK-47 | Predator,Battle-Scarred,1650,False
AK-47 | Rat Rod,Battle-Scarred,351,False
AK-47 | Safari Mesh,Factory New,503,False
AK-47 | Safari Mesh,Minimal Wear,14,False
AK-47 | Safari Mesh,Field-Tested,3,False
AK-47 | Safari Mesh,Well-Worn,12,False
AK-47 | Searing Rage,Factory New,3444,False
AK-47 | Searing Rage,Minimal Wear,668,False
AK-47 | Searing Rage,Field-Tested,284,False
AK-47 | Searing Rage,Well-Worn,250,False
AK-47 | Searing Rage,Battle-Scarred,222,False
AK-47 | Slate,Factory New,2225,False
AK-47 | Slate,Minimal Wear,205,False
AK-47 | Slate,Field-Tested,116,False
AK-47 | Slate,Well-Worn,116,False
AK-47 | Slate,Battle-Scarred,277,False
AK-47 | Steel Delta,Factory New,800,False
AK-47 | Steel Delta,Minimal Wear,180,False
AK-47 | Steel Delta,Field-Tested,120,False
AK-47 | Steel Delta,Well-Worn,144,False
AK-47 | Steel Delta,Battle-Scarred,158,False
AK-47 | The Empress,Factory New,38500,False
AK-47 | The Empress,Minimal Wear,8236,False
AK-47 | The Empress,Field-Tested,3779,False
AK-47 | The Empress,Well-Worn,3275,False
AK-47 | The Empress,Battle-Scarred,3150,False
AK-47 | The Outsiders,Factory New,10674,False
AK-47 | The Outsiders,Minimal Wear,2384,False
AK-47 | The Outsiders,Field-Tested,634,False
AK-47 | The Outsiders,Well-Worn,539,False
AK-47 | The Outsiders,Battle-Scarred,415,False
AK-47 | Uncharted,Factory New,102,False
AK-47 | Uncharted,Minimal Wear,50,False
AK-47 | Uncharted,Field-Tested,28,False
AK-47 | Uncharted,Well-Worn,71,False
AK-47 | Uncharted,Battle-Scarred,18,False
AK-47 | VariCamo Grey,Factory New,145,False
AK-47 | VariCamo Grey,Minimal Wear,43,False
AK-47 | VariCamo Grey,Field-Tested,18,False
AK-47 | VariCamo Grey,Well-Worn,51,False
AK-47 | VariCamo Grey,Battle-Scarred,25,False
AK-47 | Vulcan,Factory New,3900,False
AK-47 | Vulcan,Minimal Wear,52894,False
AK-47 | Vulcan,Field-Tested,24360,False
AK-47 | Vulcan,Well-Worn,18194,False
AK-47 | Vulcan,Battle-Scarred,16430,False
AK-47 | Wasteland Rebel,Factory New,38882,False
AK-47 | Wasteland Rebel,Minimal Wear,9537,False
AK-47 | Wasteland Rebel,Field-Tested,4100,False
AK-47 | Wasteland Rebel,Well-Worn,4971,False
AK-47 | Wasteland Rebel,Battle-Scarred,4171,False
AK-47 | Wild Lotus,Factory New,2200000,False
AK-47 | Wild Lotus,Minimal Wear,1540000,False
AK-47 | Wild Lotus,Field-Tested,1075234,False
AK-47 | Wild Lotus,Well-Worn,758771,False
AK-47 | Wild Lotus,Battle-Scarred,420000,False
AK-47 | Wintergreen,Factory New,2028,False
AK-47 | Wintergreen,Minimal Wear,585,False
AK-47 | Wintergreen,Field-Tested,179,False
AK-47 | Wintergreen,Well-Worn,248,False
AK-47 | Wintergreen,Battle-Scarred,147,False
AK-47 | X-Ray,Factory New,419207,False
AK-47 | X-Ray,Minimal Wear,185318,False
AK-47 | X-Ray,Field-Tested,91999,False
AK-47 | X-Ray,Well-Worn,47012,False
AK-47 | X-Ray,Battle-Scarred,37699,False
AUG | Akihabara Accept,Factory New,409999,False
AUG | Akihabara Accept,Minimal Wear,132190,False
AUG | Akihabara Accept,Field-Tested,55000,False
AUG | Akihabara Accept,Well-Worn,34000,False
AUG | Akihabara Accept,Battle-Scarred,29588,False
AUG | Amber Fade,Factory New,517,False
AUG | Amber Fade,Minimal Wear,349,False
AUG | Amber Fade,Field-Tested,242,False
AUG | Amber Fade,Well-Worn,1000,False
AUG | Amber Slipstream,Factory New,47,False
AUG | Amber Slipstream,Minimal Wear,28,False
AUG | Amber Slipstream,Field-Tested,28,False
AUG | Amber Slipstream,Well-Worn,20,False
AUG | Amber Slipstream,Battle-Scarred,17,False
AUG | Anodized Navy,Factory New,2974,False
AUG | Anodized Navy,Minimal Wear,5000,False
AUG | Arctic Wolf,Factory New,742,False
AUG | Arctic Wolf,Minimal Wear,404,False
AUG | Arctic Wolf,Field-Tested,185,False
AUG | Arctic Wolf,Battle-Scarred,200,False
AUG | Aristocrat,Factory New,480,False
AUG | Aristocrat,Minimal Wear,200,False
AUG | Aristocrat,Field-Tested,68,False
AUG | Aristocrat,Well-Worn,123,False
AUG | Aristocrat,Battle-Scarred,69,False
AUG | Bengal Tiger,Factory New,4300,False
AUG | Bengal Tiger,Minimal Wear,1887,False
AUG | Bengal Tiger,Field-Tested,919,False
AUG | Bengal Tiger,Well-Worn,899,False
AUG | Bengal Tiger,Battle-Scarred,1500,False
AUG | Carved Jade,Factory New,2352,False
AUG | Carved Jade,Minimal Wear,2176,False
AUG | Carved Jade,Field-Tested,1735,False
AUG | Chameleon,Factory New,1500,False
AUG | Chameleon,Minimal Wear,368,False
AUG | Chameleon,Field-Tested,270,False
AUG | Chameleon,Well-Worn,319,False
AUG | Chameleon,Battle-Scarred,355,False
AUG | Colony,Factory New,2494,False
AUG | Colony,Minimal Wear,330,False
AUG | Colony,Field-Tested,304,False
AUG | Colony,Battle-Scarred,800,False
AUG | Commando Company,Factory New,8,False
AUG | Commando Company,Minimal Wear,5,False
AUG | Commando Company,Field-Tested,3,False
AUG | Commando Company,Well-Worn,3,False
AUG | Commando Company,Battle-Scarred,3,False
AUG | Condemned,Factory New,25,False
AUG | Condemned,Minimal Wear,17,False
AUG | Condemned,Field-Tested,10,False
AUG | Condemned,Well-Worn,8,False
AUG | Condemned,Battle-Scarred,8,False
AUG | Contractor,Factory New,30,False
AUG | Contractor,Minimal Wear,5,False
AUG | Contractor,Field-Tested,3,False
AUG | Contractor,Well-Worn,3,False
AUG | Contractor,Battle-Scarred,3,False
AUG | Copperhead,Minimal Wear,12999,False
AUG | Copperhead,Field-Tested,12600,False
AUG | Daedalus,Factory New,613,False
AUG | Daedalus,Minimal Wear,460,False
AUG | Daedalus,Field-Tested,450,False
AUG | Daedalus,Well-Worn,452,False
AUG | Daedalus,Battle-Scarred,430,False
AUG | Death by Puppy,Factory New,1867,False
AUG | Death by Puppy,Minimal Wear,588,False
AUG | Death by Puppy,Field-Tested,462,False
AUG | Death by Puppy,Well-Worn,730,False
AUG | Eye of Zapems,Factory New,1582,False
AUG | Eye of Zapems,Minimal Wear,850,False
AUG | Eye of Zapems,Field-Tested,360,False
AUG | Eye of Zapems,Well-Worn,380,False
AUG | Eye of Zapems,Battle-Scarred,336,False
AUG | Flame Jörmungandr,Factory New,47280,False
AUG | Flame Jörmungandr,Minimal Wear,44458,False
AUG | Flame Jörmungandr,Field-Tested,43100,False
AUG | Fleet Flock,Factory New,1698,False
AUG | Fleet Flock,Minimal Wear,547,False
AUG | Fleet Flock,Field-Tested,208,False
AUG | Fleet Flock,Well-Worn,189,False
AUG | Fleet Flock,Battle-Scarred,234,False
AUG | Hot Rod,Factory New,49000,False
AUG | Hot Rod,Minimal Wear,83353,False
AUG | Lil' Pig,Factory New,16935,False
AUG | Lil' Pig,Minimal Wear,8775,False
AUG | Lil' Pig,Field-Tested,5369,False
AUG | Lil' Pig,Well-Worn,2900,False
AUG | Luxe Trim,Factory New,100,False
AUG | Luxe Trim,Minimal Wear,29,False
AUG | Luxe Trim,Field-Tested,26,False
AUG | Luxe Trim,Well-Worn,11,False
AUG | Luxe Trim,Battle-Scarred,8,False
AUG | Midnight Lily,Factory New,56000,False
AUG | Midnight Lily,Field-Tested,39000,False
AUG | Midnight Lily,Well-Worn,70000,False
AUG | Midnight Lily,Battle-Scarred,58533,False
AUG | Momentum,Factory New,2657,False
AUG | Momentum,Minimal Wear,581,False
AUG | Momentum,Field-Tested,172,False
AUG | Momentum,Well-Worn,190,False
AUG | Momentum,Battle-Scarred,179,False
AUG | Navy Murano,Factory New,1335,False
AUG | Navy Murano,Minimal Wear,585,False
AUG | Navy Murano,Field-Tested,199,False
AUG | Navy Murano,Well-Worn,198,False
AUG | Navy Murano,Battle-Scarred,163,False
AUG | Plague,Factory New,262,False
AUG | Plague,Minimal Wear,177,False
AUG | Plague,Field-Tested,117,False
AUG | Plague,Well-Worn,104,False
AUG | Plague,Battle-Scarred,79,False
AUG | Radiation Hazard,Factory New,367,False
AUG | Radiation Hazard,Minimal Wear,300,False
AUG | Radiation Hazard,Field-Tested,215,False
AUG | Radiation Hazard,Well-Worn,178,False
AUG | Radiation Hazard,Battle-Scarred,209,False
AUG | Random Access,Factory New,752,False
AUG | Random Access,Field-Tested,56,False
AUG | Random Access,Battle-Scarred,203,False
AUG | Spalted Wood,Minimal Wear,399,False
AUG | Spalted Wood,Well-Worn,520,False
AUG | Steel Sentinel,Factory New,60,False
AUG | Steel Sentinel,Minimal Wear,20,False
AUG | Steel Sentinel,Field-Tested,9,False
AUG | Steel Sentinel,Well-Worn,6,False
AUG | Steel Sentinel,Battle-Scarred,9,False
AUG | Storm,Factory New,78,False
AUG | Storm,Minimal Wear,19,False
AUG | Storm,Field-Tested,3,False
AUG | Storm,Well-Worn,3,False
AUG | Storm,Battle-Scarred,3,False
AUG | Stymphalian,Factory New,969,False
AUG | Stymphalian,Minimal Wear,329,False
AUG | Stymphalian,Field-Tested,137,False
AUG | Stymphalian,Well-Worn,217,False
AUG | Stymphalian,Battle-Scarred,183,False
AUG | Surveillance,Factory New,127,False
AUG | Surveillance,Minimal Wear,81,False
AUG | Surveillance,Field-Tested,76,False
AUG | Surveillance,Well-Worn,79,False
AUG | Surveillance,Battle-Scarred,79,False
AUG | Sweeper,Factory New,5,False
AUG | Sweeper,Minimal Wear,3,False
AUG | Sweeper,Field-Tested,3,False
AUG | Sweeper,Well-Worn,3,False
AUG | Sweeper,Battle-Scarred,3,False
AUG | Syd Mead,Factory New,1760,False
AUG | Syd Mead,Minimal Wear,497,False
AUG | Syd Mead,Field-Tested,245,False
AUG | Syd Mead,Well-Worn,375,False
AUG | Syd Mead,Battle-Scarred,3833,False
AUG | Tom Cat,Factory New,40,False
AUG | Tom Cat,Minimal Wear,20,False
AUG | Tom Cat,Field-Tested,16,False
AUG | Tom Cat,Well-Worn,15,False
AUG | Tom Cat,Battle-Scarred,11,False
AUG | Torque,Factory New,1439,False
AUG | Torque,Minimal Wear,1018,False
AUG | Torque,Field-Tested,819,False
AUG | Torque,Well-Worn,863,False
AUG | Torque,Battle-Scarred,5268,False
AUG | Triqua,Factory New,68,False
AUG | Triqua,Minimal Wear,41,False
AUG | Triqua,Field-Tested,16,False
AUG | Triqua,Well-Worn,14,False
AUG | Triqua,Battle-Scarred,6,False
AUG | Wings,Factory New,2224,False
AUG | Wings,Minimal Wear,2202,False
AWP | Acheron,Factory New,470,False
AWP | Acheron,Minimal Wear,77,False
AWP | Acheron,Field-Tested,30,False
AWP | Acheron,Well-Worn,71,False
AWP | Acheron,Battle-Scarred,24,False
AWP | Arsenic Spill,Factory New,475,False
AWP | Arsenic Spill,Minimal Wear,309,False
AWP | Arsenic Spill,Field-Tested,155,False
AWP | Arsenic Spill,Battle-Scarred,200,False
AWP | Asiimov,Field-Tested,14200,False
AWP | Asiimov,Well-Worn,8541,False
AWP | Asiimov,Battle-Scarred,7100,False
AWP | Atheris,Factory New,2230,False
AWP | Atheris,Minimal Wear,691,False
AWP | Atheris,Field-Tested,392,False
AWP | Atheris,Well-Worn,342,False
AWP | Atheris,Battle-Scarred,321,False
AWP | BOOM,Factory New,51999,False
AWP | BOOM,Minimal Wear,12500,False
AWP | BOOM,Field-Tested,11098,False
AWP | Black Nile,Factory New,849,False
AWP | Black Nile,Minimal Wear,340,False
AWP | Black Nile,Field-Tested,193,False
AWP | Black Nile,Well-Worn,293,False
AWP | Black Nile,Battle-Scarred,263,False
AWP | CMYK,Factory New,128576,False
AWP | CMYK,Minimal Wear,57225,False
AWP | CMYK,Field-Tested,38618,False
AWP | CMYK,Well-Worn,46989,False
AWP | CMYK,Battle-Scarred,22545,False
AWP | Capillary,Factory New,949,False
AWP | Capillary,Minimal Wear,69,False
AWP | Capillary,Field-Tested,33,False
AWP | Capillary,Well-Worn,60,False
AWP | Capillary,Battle-Scarred,32,False
AWP | Chromatic Aberration,Factory New,3450,False
AWP | Chromatic Aberration,Minimal Wear,905,False
AWP | Chromatic Aberration,Field-Tested,600,False
AWP | Chromatic Aberration,Well-Worn,874,False
AWP | Chromatic Aberration,Battle-Scarred,565,False
AWP | Chrome Cannon,Factory New,11200,False
AWP | Chrome Cannon,Minimal Wear,3899,False
AWP | Chrome Cannon,Field-Tested,2047,False
AWP | Chrome Cannon,Well-Worn,1470,False
AWP | Chrome Cannon,Battle-Scarred,1367,False
AWP | Containment Breach,Factory New,60637,False
AWP | Containment Breach,Minimal Wear,18500,False
AWP | Containment Breach,Field-Tested,7487,False
AWP | Containment Breach,Well-Worn,5500,False
AWP | Containment Breach,Battle-Scarred,5450,False
AWP | Corticera,Factory New,10685,False
AWP | Corticera,Minimal Wear,2050,False
AWP | Corticera,Field-Tested,2200,False
AWP | Crakow!,Factory New,16800,False
AWP | Crakow!,Minimal Wear,7635,False
AWP | Crakow!,Field-Tested,4345,False
AWP | Crakow!,Well-Worn,2463,False
AWP | Crakow!,Battle-Scarred,2380,False
AWP | Desert Hydra,Factory New,381199,False
AWP | Desert Hydra,Minimal Wear,229560,False
AWP | Desert Hydra,Field-Tested,142500,False
AWP | Desert Hydra,Well-Worn,169999,False
AWP | Desert Hydra,Battle-Scarred,138779,False
AWP | Dragon Lore,Factory New,1309900,False
AWP | Dragon Lore,Minimal Wear,1045000,False
AWP | Dragon Lore,Field-Tested,778500,False
AWP | Dragon Lore,Well-Worn,656000,False
AWP | Dragon Lore,Battle-Scarred,551582,False
AWP | Duality,Factory New,1871,False
AWP | Duality,Minimal Wear,415,False
AWP | Duality,Field-Tested,164,False
AWP | Duality,Well-Worn,224,False
AWP | Duality,Battle-Scarred,143,False
AWP | Electric Hive,Factory New,8740,False
AWP | Electric Hive,Minimal Wear,3600,False
AWP | Electric Hive,Field-Tested,3900,False
AWP | Electric Hive,Well-Worn,5397,False
AWP | Elite Build,Factory New,16000,False
AWP | Elite Build,Minimal Wear,2870,False
AWP | Elite Build,Field-Tested,1743,False
AWP | Elite Build,Well-Worn,1500,False
AWP | Elite Build,Battle-Scarred,1600,False
AWP | Exoskeleton,Factory New,3700,False
AWP | Exoskeleton,Minimal Wear,833,False
AWP | Exoskeleton,Field-Tested,419,False
AWP | Exoskeleton,Well-Worn,395,False
AWP | Exoskeleton,Battle-Scarred,348,False
AWP | Fade,Factory New,113730,False
AWP | Fade,Minimal Wear,109999,False
AWP | Fever Dream,Factory New,5239,False
AWP | Fever Dream,Minimal Wear,1800,False
AWP | Fever Dream,Field-Tested,1329,False
AWP | Fever Dream,Well-Worn,1398,False
AWP | Fever Dream,Battle-Scarred,1357,False
AWP | Graphite,Factory New,335,False
AWP | Graphite,Minimal Wear,14831,False
AWP | Green Energy,Factory New,23000,False
AWP | Green Energy,Minimal Wear,8212,False
AWP | Green Energy,Field-Tested,3090,False
AWP | Green Energy,Well-Worn,2750,False
AWP | Green Energy,Battle-Scarred,350,False
AWP | Gungnir,Factory New,1588800,False
AWP | Gungnir,Minimal Wear,1399900,False
AWP | Gungnir,Field-Tested,1039999,False
AWP | Gungnir,Well-Worn,915000,False
AWP | Gungnir,Battle-Scarred,839900,False
AWP | Hyper Beast,Factory New,34513,False
AWP | Hyper Beast,Minimal Wear,5000,False
AWP | Hyper Beast,Field-Tested,2673,False
AWP | Hyper Beast,Well-Worn,2322,False
AWP | Hyper Beast,Battle-Scarred,2467,False
AWP | Lightning Strike,Factory New,63108,False
AWP | Lightning Strike,Minimal Wear,63037,False
AWP | LongDog,Factory New,119281,False
AWP | LongDog,Minimal Wear,29981,False
AWP | LongDog,Field-Tested,15738,False
AWP | LongDog,Well-Worn,9683,False
AWP | LongDog,Battle-Scarred,8999,False
AWP | Man-o'-war,Minimal Wear,10121,False
AWP | Man-o'-war,Field-Tested,5429,False
AWP | Medusa,Factory New,509999,False
AWP | Medusa,Minimal Wear,285075,False
AWP | Medusa,Field-Tested,219499,False
AWP | Medusa,Well-Worn,201191,False
AWP | Medusa,Battle-Scarred,200069,False
AWP | Mortis,Factory New,2337,False
AWP | Mortis,Minimal Wear,404,False
AWP | Mortis,Field-Tested,97,False
AWP | Mortis,Well-Worn,334,False
AWP | Mortis,Battle-Scarred,249,False
AWP | Neo-Noir,Factory New,6800,False
AWP | Neo-Noir,Minimal Wear,2580,False
AWP | Neo-Noir,Field-Tested,2175,False
AWP | Neo-Noir,Well-Worn,2100,False
AWP | Neo-Noir,Battle-Scarred,2574,False
AWP | Oni Taiji,Factory New,73680,False
AWP | Oni Taiji,Minimal Wear,34999,False
AWP | Oni Taiji,Field-Tested,24025,False
AWP | Oni Taiji,Battle-Scarred,18999,False
AWP | Pink DDPAT,Minimal Wear,5200,False
AWP | Pink DDPAT,Well-Worn,2589,False
AWP | Pit Viper,Minimal Wear,184,False
AWP | Pit Viper,Field-Tested,38,False
AWP | Pit Viper,Well-Worn,75,False
AWP | Pit Viper,Battle-Scarred,65,False
AWP | Printstream,Factory New,31000,False
AWP | Printstream,Minimal Wear,11500,False
AWP | Printstream,Field-Tested,2130,False
AWP | Printstream,Well-Worn,3598,False
AWP | Printstream,Battle-Scarred,3348,False
AWP | Safari Mesh,Factory New,456,False
AWP | Safari Mesh,Minimal Wear,20,False
AWP | Safari Mesh,Field-Tested,9,False
AWP | Safari Mesh,Well-Worn,10,False
AWP | Silk Tiger,Factory New,75000,False
AWP | Silk Tiger,Minimal Wear,33500,False
AWP | Silk Tiger,Field-Tested,21098,False
AWP | Silk Tiger,Well-Worn,21378,False
AWP | Snake Camo,Factory New,23499,False
AWP | Snake Camo,Minimal Wear,11930,False
AWP | Snake Camo,Field-Tested,11229,False
AWP | Snake Camo,Battle-Scarred,10233,False
AWP | Sun in Leo,Factory New,7420,False
AWP | Sun in Leo,Minimal Wear,2655,False
AWP | Sun in Leo,Field-Tested,2042,False
AWP | Sun in Leo,Well-Worn,2391,False
AWP | Sun in Leo,Battle-Scarred,1000,False
AWP | The Prince,Factory New,430000,False
AWP | The Prince,Minimal Wear,291600,False
AWP | The Prince,Field-Tested,249900,False
AWP | The Prince,Well-Worn,235000,False
AWP | The Prince,Battle-Scarred,199283,False
