MarketHashName,PriceCents
AK-47 | Aquamarine Revenge (Battle-Scarred),2521
AK-47 | Searing Rage (Field-Tested),325
AK-47 | Searing Rage (Minimal Wear),738
AK-47 | Searing Rage (Well-Worn),272
AK-47 | Slate (Battle-Scarred),315
AK-47 | Slate (Factory New),2111
AK-47 | Slate (Field-Tested),388
AK-47 | Slate (Minimal Wear),701
AK-47 | Slate (Well-Worn),330
AK-47 | Steel Delta (Battle-Scarred),159
AK-47 | Steel Delta (Factory New),814
AK-47 | Steel Delta (Field-Tested),120
AK-47 | Steel Delta (Minimal Wear),223
AK-47 | Steel Delta (Well-Worn),205
AK-47 | The Empress (Battle-Scarred),3189
AK-47 | The Empress (Factory New),26265
AK-47 | The Empress (Field-Tested),4126
AK-47 | The Empress (Minimal Wear),6603
AK-47 | The Empress (Well-Worn),3342
AK-47 | The Outsiders (Battle-Scarred),493
AK-47 | The Outsiders (Factory New),6518
AK-47 | The Outsiders (Field-Tested),780
AK-47 | The Outsiders (Minimal Wear),1521
AK-47 | The Outsiders (Well-Worn),639
AK-47 | Uncharted (Battle-Scarred),33
AK-47 | Uncharted (Factory New),303
AK-47 | Uncharted (Field-Tested),34
AK-47 | Uncharted (Minimal Wear),64
AK-47 | Uncharted (Well-Worn),111
AK-47 | VariCamo Grey (Battle-Scarred),40
AK-47 | VariCamo Grey (Factory New),218
AK-47 | VariCamo Grey (Field-Tested),26
AK-47 | VariCamo Grey (Minimal Wear),62
AK-47 | VariCamo Grey (Well-Worn),47
AK-47 | Vulcan (Battle-Scarred),15743
AK-47 | Vulcan (Factory New),100103
AK-47 | Vulcan (Field-Tested),27968
AK-47 | Vulcan (Minimal Wear),57462
AK-47 | Vulcan (Well-Worn),19805
AK-47 | Wasteland Rebel (Battle-Scarred),3809
AK-47 | Wasteland Rebel (Factory New),31452
AK-47 | Wasteland Rebel (Field-Tested),4571
AK-47 | Wasteland Rebel (Minimal Wear),9382
AK-47 | Wasteland Rebel (Well-Worn),4691
AK-47 | Wild Lotus (Battle-Scarred),467958
AK-47 | Wild Lotus (Field-Tested),1217463
AK-47 | Wild Lotus (Well-Worn),860200
AK-47 | Wintergreen (Battle-Scarred),117
AK-47 | Wintergreen (Factory New),2255
AK-47 | Wintergreen (Field-Tested),192
AK-47 | Wintergreen (Minimal Wear),697
AK-47 | Wintergreen (Well-Worn),264
AK-47 | X-Ray (Field-Tested),108494
AK-47 | X-Ray (Well-Worn),60720
AUG | Akihabara Accept (Battle-Scarred),25799
AUG | Akihabara Accept (Factory New),403012
AUG | Akihabara Accept (Field-Tested),69322
AUG | Akihabara Accept (Minimal Wear),140607
AUG | Akihabara Accept (Well-Worn),41045
AUG | Amber Fade (Factory New),478
AUG | Amber Fade (Field-Tested),237
AUG | Amber Fade (Minimal Wear),280
AUG | Amber Fade (Well-Worn),797
AUG | Amber Slipstream (Battle-Scarred),18
AUG | Amber Slipstream (Factory New),54
AUG | Amber Slipstream (Field-Tested),29
AUG | Amber Slipstream (Minimal Wear),30
AUG | Amber Slipstream (Well-Worn),14
AUG | Anodized Navy (Factory New),2710
AUG | Arctic Wolf (Battle-Scarred),113
AUG | Arctic Wolf (Factory New),758
AUG | Arctic Wolf (Field-Tested),209
AUG | Arctic Wolf (Minimal Wear),403
AUG | Arctic Wolf (Well-Worn),235
AUG | Aristocrat (Battle-Scarred),66
AUG | Aristocrat (Factory New),396
AUG | Aristocrat (Field-Tested),75
AUG | Aristocrat (Minimal Wear),135
AUG | Aristocrat (Well-Worn),81
AUG | Bengal Tiger (Battle-Scarred),812
AUG | Bengal Tiger (Factory New),4802
AUG | Bengal Tiger (Field-Tested),762
AUG | Bengal Tiger (Minimal Wear),2485
AUG | Carved Jade (Factory New),2345
AUG | Carved Jade (Field-Tested),1642
AUG | Carved Jade (Minimal Wear),1432
AUG | Chameleon (Battle-Scarred),279
AUG | Chameleon (Factory New),1445
AUG | Chameleon (Field-Tested),225
AUG | Chameleon (Minimal Wear),446
AUG | Chameleon (Well-Worn),269
AUG | Colony (Battle-Scarred),211
AUG | Colony (Field-Tested),250
AUG | Colony (Minimal Wear),292
AUG | Colony (Well-Worn),351
AUG | Commando Company (Battle-Scarred),2
AUG | Commando Company (Factory New),8
AUG | Commando Company (Field-Tested),2
AUG | Commando Company (Minimal Wear),6
AUG | Commando Company (Well-Worn),2
AUG | Condemned (Battle-Scarred),8
AUG | Condemned (Factory New),27
AUG | Condemned (Field-Tested),11
AUG | Condemned (Minimal Wear),18
AUG | Condemned (Well-Worn),8
AUG | Contractor (Battle-Scarred),2
AUG | Contractor (Factory New),28
AUG | Contractor (Field-Tested),2
AUG | Contractor (Minimal Wear),2
AUG | Contractor (Well-Worn),2
AUG | Daedalus (Battle-Scarred),605
AUG | Daedalus (Factory New),539
AUG | Daedalus (Field-Tested),496
AUG | Daedalus (Minimal Wear),582
AUG | Daedalus (Well-Worn),376
AUG | Death by Puppy (Factory New),1548
AUG | Death by Puppy (Field-Tested),441
AUG | Death by Puppy (Minimal Wear),643
AUG | Death by Puppy (Well-Worn),651
AUG | Eye of Zapems (Battle-Scarred),285
AUG | Eye of Zapems (Factory New),1549
AUG | Eye of Zapems (Field-Tested),401
AUG | Eye of Zapems (Minimal Wear),901
AUG | Eye of Zapems (Well-Worn),585
AUG | Flame Jörmungandr (Factory New),64264
AUG | Flame Jörmungandr (Minimal Wear),50600
AUG | Fleet Flock (Battle-Scarred),143
AUG | Fleet Flock (Factory New),1855
AUG | Fleet Flock (Field-Tested),213
AUG | Fleet Flock (Minimal Wear),507
AUG | Fleet Flock (Well-Worn),155
AUG | Hot Rod (Factory New),48141
AUG | Lil' Pig (Battle-Scarred),2131
AUG | Lil' Pig (Factory New),12580
AUG | Lil' Pig (Field-Tested),3362
AUG | Lil' Pig (Minimal Wear),7306
AUG | Lil' Pig (Well-Worn),3027
AUG | Luxe Trim (Battle-Scarred),8
AUG | Luxe Trim (Factory New),176
AUG | Luxe Trim (Field-Tested),13
AUG | Luxe Trim (Minimal Wear),28
AUG | Luxe Trim (Well-Worn),8
AUG | Midnight Lily (Factory New),54621
AUG | Midnight Lily (Field-Tested),80190
AUG | Momentum (Battle-Scarred),131
AUG | Momentum (Factory New),2295
AUG | Momentum (Field-Tested),175
AUG | Momentum (Minimal Wear),624
AUG | Momentum (Well-Worn),131
AUG | Navy Murano (Battle-Scarred),103
AUG | Navy Murano (Factory New),782
AUG | Navy Murano (Field-Tested),172
AUG | Navy Murano (Minimal Wear),317
AUG | Navy Murano (Well-Worn),121
AUG | Plague (Battle-Scarred),74
AUG | Plague (Factory New),212
AUG | Plague (Field-Tested),101
AUG | Plague (Minimal Wear),171
AUG | Plague (Well-Worn),74
AUG | Radiation Hazard (Battle-Scarred),129
AUG | Radiation Hazard (Factory New),373
AUG | Radiation Hazard (Field-Tested),196
AUG | Radiation Hazard (Minimal Wear),205
AUG | Random Access (Battle-Scarred),83
AUG | Random Access (Factory New),717
AUG | Random Access (Field-Tested),81
AUG | Random Access (Minimal Wear),178
AUG | Random Access (Well-Worn),67
AUG | Ricochet (Battle-Scarred),7
AUG | Ricochet (Factory New),115
AUG | Ricochet (Field-Tested),15
AUG | Ricochet (Minimal Wear),56
AUG | Ricochet (Well-Worn),14
AUG | Sand Storm (Factory New),9382
AUG | Sand Storm (Field-Tested),7036
AUG | Sand Storm (Minimal Wear),6918
AUG | Snake Pit (Battle-Scarred),2
AUG | Snake Pit (Factory New),11
AUG | Snake Pit (Field-Tested),2
AUG | Snake Pit (Minimal Wear),4
AUG | Snake Pit (Well-Worn),2
AUG | Spalted Wood (Battle-Scarred),421
AUG | Spalted Wood (Factory New),586
AUG | Spalted Wood (Field-Tested),412
AUG | Spalted Wood (Minimal Wear),299
AUG | Spalted Wood (Well-Worn),413
AUG | Steel Sentinel (Battle-Scarred),5
AUG | Steel Sentinel (Factory New),94
AUG | Steel Sentinel (Field-Tested),8
AUG | Steel Sentinel (Minimal Wear),16
AUG | Steel Sentinel (Well-Worn),5
AUG | Storm (Battle-Scarred),2
AUG | Storm (Factory New),75
AUG | Storm (Field-Tested),2
AUG | Storm (Minimal Wear),2
AUG | Storm (Well-Worn),2
AUG | Stymphalian (Battle-Scarred),127
AUG | Stymphalian (Factory New),967
AUG | Stymphalian (Field-Tested),157
AUG | Stymphalian (Minimal Wear),345
AUG | Stymphalian (Well-Worn),137
AUG | Surveillance (Battle-Scarred),82
AUG | Surveillance (Factory New),96
AUG | Surveillance (Field-Tested),69
AUG | Surveillance (Minimal Wear),82
AUG | Surveillance (Well-Worn),66
AUG | Sweeper (Battle-Scarred),2
AUG | Sweeper (Factory New),6
AUG | Sweeper (Field-Tested),2
AUG | Sweeper (Minimal Wear),2
AUG | Sweeper (Well-Worn),2
AUG | Syd Mead (Battle-Scarred),235
AUG | Syd Mead (Factory New),1444
AUG | Syd Mead (Field-Tested),213
AUG | Syd Mead (Minimal Wear),659
AUG | Syd Mead (Well-Worn),220
AUG | Tom Cat (Battle-Scarred),9
AUG | Tom Cat (Factory New),41
AUG | Tom Cat (Field-Tested),19
AUG | Tom Cat (Minimal Wear),19
AUG | Tom Cat (Well-Worn),16
AUG | Torque (Battle-Scarred),25213
AUG | Torque (Factory New),1188
AUG | Torque (Field-Tested),717
AUG | Torque (Minimal Wear),883
AUG | Torque (Well-Worn),1027
AUG | Triqua (Battle-Scarred),11
AUG | Triqua (Factory New),64
AUG | Triqua (Field-Tested),19
AUG | Triqua (Minimal Wear),30
AUG | Triqua (Well-Worn),9
AUG | Wings (Factory New),2130
AUG | Wings (Minimal Wear),2186
AWP | Acheron (Battle-Scarred),29
AWP | Acheron (Factory New),556
AWP | Acheron (Field-Tested),35
AWP | Acheron (Minimal Wear),114
AWP | Acheron (Well-Worn),80
AWP | Arsenic Spill (Battle-Scarred),433
AWP | Arsenic Spill (Factory New),504
AWP | Arsenic Spill (Field-Tested),198
AWP | Arsenic Spill (Minimal Wear),328
AWP | Arsenic Spill (Well-Worn),121
AWP | Asiimov (Battle-Scarred),7586
AWP | Asiimov (Field-Tested),14581
AWP | Asiimov (Well-Worn),9968
AWP | Atheris (Battle-Scarred),307
AWP | Atheris (Factory New),2806
AWP | Atheris (Field-Tested),436
AWP | Atheris (Minimal Wear),810
AWP | Atheris (Well-Worn),347
AWP | BOOM (Factory New),46908
AWP | BOOM (Field-Tested),11171
AWP | BOOM (Minimal Wear),15355
AWP | Black Nile (Battle-Scarred),435
AWP | Black Nile (Factory New),1010
AWP | Black Nile (Field-Tested),243
AWP | Black Nile (Minimal Wear),360
AWP | Black Nile (Well-Worn),281
AWP | CMYK (Battle-Scarred),11141
AWP | CMYK (Factory New),103264
AWP | CMYK (Field-Tested),19339
AWP | CMYK (Minimal Wear),36017
AWP | CMYK (Well-Worn),14074
AWP | Capillary (Battle-Scarred),34
AWP | Capillary (Factory New),598
AWP | Capillary (Field-Tested),35
AWP | Capillary (Minimal Wear),74
AWP | Capillary (Well-Worn),61
AWP | Chromatic Aberration (Battle-Scarred),584
AWP | Chromatic Aberration (Factory New),3459
AWP | Chromatic Aberration (Field-Tested),666
AWP | Chromatic Aberration (Minimal Wear),1041
AWP | Chromatic Aberration (Well-Worn),762
AWP | Chrome Cannon (Battle-Scarred),1360
AWP | Chrome Cannon (Factory New),11820
AWP | Chrome Cannon (Field-Tested),2229
AWP | Chrome Cannon (Minimal Wear),4104
AWP | Chrome Cannon (Well-Worn),1659
AWP | Containment Breach (Battle-Scarred),5622
AWP | Containment Breach (Factory New),54960
AWP | Containment Breach (Field-Tested),8035
AWP | Containment Breach (Minimal Wear),19249
AWP | Containment Breach (Well-Worn),5580
AWP | Corticera (Factory New),11898
AWP | Corticera (Field-Tested),1954
AWP | Corticera (Minimal Wear),3282
AWP | Crakow! (Battle-Scarred),2695
AWP | Crakow! (Factory New),19056
AWP | Crakow! (Field-Tested),4679
AWP | Crakow! (Minimal Wear),8046
AWP | Crakow! (Well-Worn),3172
AWP | Desert Hydra (Battle-Scarred),293174
AWP | Desert Hydra (Factory New),394680
AWP | Desert Hydra (Field-Tested),202584
AWP | Desert Hydra (Minimal Wear),262375
AWP | Desert Hydra (Well-Worn),211108
AWP | Dragon Lore (Battle-Scarred),644984
AWP | Dragon Lore (Factory New),1418433
AWP | Dragon Lore (Field-Tested),1029124
AWP | Dragon Lore (Minimal Wear),1247553
AWP | Dragon Lore (Well-Worn),702447
AWP | Duality (Battle-Scarred),167
AWP | Duality (Factory New),2048
AWP | Duality (Field-Tested),190
AWP | Duality (Minimal Wear),495
AWP | Duality (Well-Worn),218
AWP | Electric Hive (Factory New),9032
AWP | Electric Hive (Field-Tested),3509
AWP | Electric Hive (Minimal Wear),3754
AWP | Electric Hive (Well-Worn),4977
AWP | Elite Build (Battle-Scarred),1388
AWP | Elite Build (Factory New),12782
AWP | Elite Build (Field-Tested),1743
AWP | Elite Build (Minimal Wear),3131
AWP | Elite Build (Well-Worn),1643
AWP | Exoskeleton (Battle-Scarred),392
AWP | Exoskeleton (Factory New),3891
AWP | Exoskeleton (Field-Tested),442
AWP | Exoskeleton (Minimal Wear),822
AWP | Exoskeleton (Well-Worn),332
AWP | Fade (Factory New),120026
AWP | Fade (Minimal Wear),111407
AWP | Fever Dream (Battle-Scarred),1198
AWP | Fever Dream (Factory New),5017
AWP | Fever Dream (Field-Tested),1411
AWP | Fever Dream (Minimal Wear),1799
AWP | Fever Dream (Well-Worn),1302
AWP | Graphite (Factory New),21109
AWP | Graphite (Minimal Wear),16427
AWP | Green Energy (Battle-Scarred),2696
AWP | Green Energy (Factory New),22035
AWP | Green Energy (Field-Tested),3922
AWP | Green Energy (Minimal Wear),10126
AWP | Green Energy (Well-Worn),2684
AWP | Gungnir (Factory New),1993590
AWP | Hyper Beast (Battle-Scarred),2391
AWP | Hyper Beast (Factory New),31370
AWP | Hyper Beast (Field-Tested),3075
AWP | Hyper Beast (Minimal Wear),6450
AWP | Hyper Beast (Well-Worn),2355
AWP | Lightning Strike (Factory New),67746
AWP | Lightning Strike (Minimal Wear),69717
AWP | LongDog (Battle-Scarred),9751
AWP | LongDog (Factory New),111407
AWP | LongDog (Field-Tested),20391
AWP | LongDog (Minimal Wear),35516
AWP | LongDog (Well-Worn),10883
AWP | Man-o'-war (Field-Tested),5862
AWP | Man-o'-war (Minimal Wear),10649
AWP | Medusa (Battle-Scarred),233252
AWP | Medusa (Field-Tested),211086
AWP | Medusa (Minimal Wear),286977
AWP | Medusa (Well-Worn),209796
AWP | Mortis (Battle-Scarred),232
AWP | Mortis (Factory New),1994
AWP | Mortis (Field-Tested),226
AWP | Mortis (Minimal Wear),453
AWP | Mortis (Well-Worn),303
AWP | Neo-Noir (Battle-Scarred),2017
AWP | Neo-Noir (Factory New),6513
AWP | Neo-Noir (Field-Tested),2418
AWP | Neo-Noir (Minimal Wear),2941
AWP | Neo-Noir (Well-Worn),2120
AWP | Oni Taiji (Battle-Scarred),17004
AWP | Oni Taiji (Factory New),73880
AWP | Oni Taiji (Field-Tested),27225
AWP | Oni Taiji (Minimal Wear),35181
AWP | Oni Taiji (Well-Worn),20990
AWP | PAW (Battle-Scarred),159
AWP | PAW (Factory New),806
AWP | PAW (Field-Tested),159
AWP | PAW (Minimal Wear),298
AWP | PAW (Well-Worn),193
AWP | POP AWP (Factory New),4416
AWP | POP AWP (Field-Tested),908
AWP | POP AWP (Minimal Wear),1278
AWP | POP AWP (Well-Worn),684
AWP | Phobos (Factory New),715
AWP | Phobos (Field-Tested),164
AWP | Phobos (Minimal Wear),195
AWP | Phobos (Well-Worn),269
AWP | Pink DDPAT (Battle-Scarred),3700
AWP | Pink DDPAT (Factory New),12970
AWP | Pink DDPAT (Field-Tested),2777
AWP | Pink DDPAT (Minimal Wear),4658
AWP | Pink DDPAT (Well-Worn),2580
AWP | Pit Viper (Battle-Scarred),43
AWP | Pit Viper (Field-Tested),41
AWP | Pit Viper (Minimal Wear),254
AWP | Pit Viper (Well-Worn),54
AWP | Printstream (Battle-Scarred),3653
AWP | Printstream (Factory New),31152
AWP | Printstream (Field-Tested),5629
AWP | Printstream (Minimal Wear),11729
AWP | Printstream (Well-Worn),3979
AWP | Redline (Field-Tested),4466
AWP | Redline (Minimal Wear),13060
AWP | Redline (Well-Worn),7117
AWP | Safari Mesh (Battle-Scarred),21
AWP | Safari Mesh (Factory New),412
AWP | Safari Mesh (Field-Tested),11
AWP | Safari Mesh (Minimal Wear),22
AWP | Safari Mesh (Well-Worn),45
AWP | Silk Tiger (Factory New),63167
AWP | Silk Tiger (Field-Tested),20575
AWP | Silk Tiger (Minimal Wear),30054
AWP | Snake Camo (Battle-Scarred),15362
AWP | Snake Camo (Field-Tested),13721
AWP | Snake Camo (Minimal Wear),13927
AWP | Sun in Leo (Battle-Scarred),2853
AWP | Sun in Leo (Factory New),7388
AWP | Sun in Leo (Field-Tested),2298
AWP | Sun in Leo (Minimal Wear),3502
AWP | Sun in Leo (Well-Worn),3284
AWP | The Prince (Field-Tested),237997
AWP | The Prince (Minimal Wear),333047
AWP | Wildfire (Battle-Scarred),4201
AWP | Wildfire (Factory New),29318
AWP | Wildfire (Field-Tested),4955
AWP | Wildfire (Minimal Wear),8567
AWP | Wildfire (Well-Worn),4514
AWP | Worm God (Factory New),596
AWP | Worm God (Field-Tested),163
AWP | Worm God (Minimal Wear),222
AWP | Worm God (Well-Worn),183
CZ75-Auto | Army Sheen (Factory New),523
CZ75-Auto | Army Sheen (Field-Tested),318
CZ75-Auto | Army Sheen (Minimal Wear),258
CZ75-Auto | Chalice (Factory New),87953
CZ75-Auto | Circaetus (Battle-Scarred),14
CZ75-Auto | Circaetus (Factory New),84
CZ75-Auto | Circaetus (Field-Tested),19
CZ75-Auto | Circaetus (Minimal Wear),27
CZ75-Auto | Circaetus (Well-Worn),14
CZ75-Auto | Copper Fiber (Battle-Scarred),7
CZ75-Auto | Copper Fiber (Factory New),73
CZ75-Auto | Copper Fiber (Field-Tested),8
CZ75-Auto | Copper Fiber (Minimal Wear),16
CZ75-Auto | Copper Fiber (Well-Worn),7
CZ75-Auto | Crimson Web (Battle-Scarred),93
